feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
dep_len,en,te,residual,stanza,mbert-base,High,-0.00995300184816239
dep_len,en,te,residual,stanza,mbert-base,Low,-0.0023775852208728354
dep_len,en,te,residual,stanza,mbert-base,Medium,-0.017606431185099636
sent_len,en,te,residual,stanza,xlmr-base,High,-0.011100602267007986
sent_len,en,te,residual,stanza,xlmr-base,Low,-0.008040085051621237
sent_len,en,te,residual,stanza,xlmr-base,Medium,-0.004611781376221313
lex_len,en,te,residual,stanza,xlmr-base,High,-0.012958005335667822
lex_len,en,te,residual,stanza,xlmr-base,Low,-0.00590277255214422
lex_len,en,te,residual,stanza,xlmr-base,Medium,-0.008498724702926008
dep_len,en,te,residual,stanza,xlmr-base,High,-0.013161286145401019
dep_len,en,te,residual,stanza,xlmr-base,Low,-0.002578214016322966
dep_len,en,te,residual,stanza,xlmr-base,Medium,-0.017700198767576447
sent_len,en,te,residual,trankit,mbert-base,High,-0.009933131339015633
sent_len,en,te,residual,trankit,mbert-base,Medium,-0.01512048236845126
sent_len,en,te,residual,trankit,mbert-base,Low,-0.005721280816227692
lex_len,en,te,residual,trankit,mbert-base,High,-0.012009872860513027
lex_len,en,te,residual,trankit,mbert-base,Low,-0.0040416491981180025
lex_len,en,te,residual,trankit,mbert-base,Medium,-0.006438579671566025
dep_len,en,te,residual,trankit,mbert-base,High,-0.012079022389537952
dep_len,en,te,residual,trankit,mbert-base,Medium,-0.014108743067455354
dep_len,en,te,residual,trankit,mbert-base,Low,0.0020371122697833144
sent_len,en,te,residual,trankit,xlmr-base,High,-0.00834617974493701
sent_len,en,te,residual,trankit,xlmr-base,Low,-0.006972944484184174
sent_len,en,te,residual,trankit,xlmr-base,Medium,-0.0044377688522654335
lex_len,en,te,residual,trankit,xlmr-base,High,-0.007982358231210296
lex_len,en,te,residual,trankit,xlmr-base,Low,-0.017716272136455546
lex_len,en,te,residual,trankit,xlmr-base,Medium,-0.0054813220945091334
dep_len,en,te,residual,trankit,xlmr-base,High,-0.011925434102984522
dep_len,en,te,residual,trankit,xlmr-base,Medium,-0.013752498600326457
dep_len,en,te,residual,trankit,xlmr-base,Low,0.0022376201748004476
sent_len,hi,en,residual,stanza,mbert-base,High,-0.008732668696473489
sent_len,hi,en,residual,stanza,mbert-base,Low,0.0076881392886747335
sent_len,hi,en,residual,stanza,mbert-base,Medium,-0.007267644926983063
lex_len,hi,en,residual,stanza,mbert-base,High,-0.009699751005930457
lex_len,hi,en,residual,stanza,mbert-base,Low,-0.009566602334194707
lex_len,hi,en,residual,stanza,mbert-base,Medium,-0.002115869463271247
dep_len,hi,en,residual,stanza,mbert-base,High,-0.013703499446528489
dep_len,hi,en,residual,stanza,mbert-base,Medium,-0.010972424643586387
dep_len,hi,en,residual,stanza,mbert-base,Low,-0.000496029760399308
sent_len,hi,en,residual,stanza,xlmr-base,High,-0.009669649469021269
sent_len,hi,en,residual,stanza,xlmr-base,Low,0.008588258444344965
sent_len,hi,en,residual,stanza,xlmr-base,Medium,-0.00026762231592691865
lex_len,hi,en,residual,stanza,xlmr-base,High,-0.011126840308658292
lex_len,hi,en,residual,stanza,xlmr-base,Low,-0.012262401814772894
lex_len,hi,en,residual,stanza,xlmr-base,Medium,-0.005392211031865046
dep_len,hi,en,residual,stanza,xlmr-base,High,-0.014589199829588395
dep_len,hi,en,residual,stanza,xlmr-base,Medium,-0.014633997793098485
dep_len,hi,en,residual,stanza,xlmr-base,Low,-0.0030339409641769732
sent_len,hi,en,residual,trankit,mbert-base,High,-0.009400268754371166
sent_len,hi,en,residual,trankit,mbert-base,Low,-0.014664690263726632
sent_len,hi,en,residual,trankit,mbert-base,Medium,-0.007047391154739735
lex_len,hi,en,residual,trankit,mbert-base,High,-0.010836892730866965
lex_len,hi,en,residual,trankit,mbert-base,Low,-0.015303780983860205
