src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,es,trankit,rgcn,xlmr-base,98109,0.7652959515245623
en,es,trankit,rgat,xlmr-base,98109,0.7412294182651302
en,es,None,None,xlmr-base,98109,0.7507450861634547
en,es,stanza,rgcn,xlmr-base,15232,0.7331979923321787
en,es,stanza,rgat,xlmr-base,15232,0.7398723277603512
en,es,trankit,rgcn,xlmr-base,15232,0.7311783665671099
en,es,trankit,rgat,xlmr-base,15232,0.7468473677168652
en,es,None,None,xlmr-base,15232,0.7070528426907007
en,fr,stanza,rgcn,mbert-base,11737,0.7747753592095906
en,fr,stanza,rgat,mbert-base,11737,0.8036947921574307
en,fr,trankit,rgcn,mbert-base,11737,0.8100360335165655
en,fr,trankit,rgat,mbert-base,11737,0.8090186286178302
en,fr,None,None,mbert-base,11737,0.8015904503314992
en,fr,stanza,rgcn,mbert-base,15123,0.7927931878501805
en,fr,stanza,rgat,mbert-base,15123,0.7998016741349016
en,fr,trankit,rgcn,mbert-base,15123,0.778709113480629
en,fr,trankit,rgat,mbert-base,15123,0.804611881279486
en,fr,None,None,mbert-base,15123,0.7829389067612111
en,fr,stanza,rgcn,mbert-base,98105,0.8069955288742201
en,fr,stanza,rgat,mbert-base,98105,0.804255286056061
en,fr,trankit,rgcn,mbert-base,98105,0.8009396785893184
en,fr,trankit,rgat,mbert-base,98105,0.8073807880803505
en,fr,None,None,mbert-base,98105,0.7818579147282907
en,fr,stanza,rgcn,mbert-base,98109,0.8267048972849222
en,fr,stanza,rgat,mbert-base,98109,0.7951833078905587
en,fr,trankit,rgcn,mbert-base,98109,0.7989335028800426
en,fr,trankit,rgat,mbert-base,98109,0.7778803253786992
en,fr,None,None,mbert-base,98109,0.8113213855589965
en,fr,stanza,rgcn,mbert-base,15232,0.7802135520577651
en,fr,stanza,rgat,mbert-base,15232,0.7802789227530629
en,fr,trankit,rgcn,mbert-base,15232,0.8115932659231581
en,fr,trankit,rgat,mbert-base,15232,0.777944770768424
en,fr,None,None,mbert-base,15232,0.8090542587845209
en,fr,stanza,rgcn,xlmr-base,11737,0.7343203709487025
en,fr,stanza,rgat,xlmr-base,11737,0.7079670398764231
en,fr,trankit,rgcn,xlmr-base,11737,0.701284675652145
en,fr,trankit,rgat,xlmr-base,11737,0.7038285962695876
en,fr,None,None,xlmr-base,11737,0.7377340478834903
en,fr,stanza,rgcn,xlmr-base,15123,0.7148079942820456
en,fr,stanza,rgat,xlmr-base,15123,0.6610003991373661
en,fr,trankit,rgcn,xlmr-base,15123,0.696620661514376
en,fr,trankit,rgat,xlmr-base,15123,0.6878201223345147
en,fr,None,None,xlmr-base,15123,0.6519727811682352
en,fr,stanza,rgcn,xlmr-base,98105,0.6755547379215437
en,fr,stanza,rgat,xlmr-base,98105,0.7369133820066651
en,fr,trankit,rgcn,xlmr-base,98105,0.7061912509629404
en,fr,trankit,rgat,xlmr-base,98105,0.7046109688966984
en,fr,None,None,xlmr-base,98105,0.6890860750902152
en,fr,stanza,rgcn,xlmr-base,98109,0.723530200784224
en,fr,stanza,rgat,xlmr-base,98109,0.7008980454798135
en,fr,trankit,rgcn,xlmr-base,98109,0.7460911254301487
en,fr,trankit,rgat,xlmr-base,98109,0.6903968548382959
en,fr,None,None,xlmr-base,98109,0.7561405963259187
en,fr,stanza,rgcn,xlmr-base,15232,0.723586193342528
en,fr,stanza,rgat,xlmr-base,15232,0.7375546026973265
en,fr,trankit,rgcn,xlmr-base,15232,0.7084458716975295
en,fr,trankit,rgat,xlmr-base,15232,0.7018653976372702
en,fr,None,None,xlmr-base,15232,0.6842527710827715
en,it,stanza,rgcn,mbert-base,11737,0.7755754358624412
en,it,stanza,rgat,mbert-base,11737,0.7509068566822084
en,it,trankit,rgcn,mbert-base,11737,0.7404376607945512
en,it,trankit,rgat,mbert-base,11737,0.7396493939215473
en,it,None,None,mbert-base,11737,0.7626383249004847
en,it,stanza,rgcn,mbert-base,15123,0.7326039009406133
en,it,stanza,rgat,mbert-base,15123,0.7255688307937305
en,it,trankit,rgcn,mbert-base,15123,0.7372702132068317
en,it,trankit,rgat,mbert-base,15123,0.7246712054223613
en,it,None,None,mbert-base,15123,0.7919402713566855
en,it,stanza,rgcn,mbert-base,98105,0.7426585028729935
en,it,stanza,rgat,mbert-base,98105,0.7607215073263682
