Language	Model	Parser	Method	Precision	Recall	F1 Score	Macro F1 Score
it	mistral	stanza	DAG	0.319485658	0.297421731	0.308059132	0.386049894
it	mistral	stanza	simple_prompt	0.309859155	0.275	0.291390728	0.350684182
it	mistral	trankit	DAG	0.327689243	0.302946593	0.314832536	0.396367062
it	mistral	trankit	simple_prompt	0.300699301	0.26875	0.283828383	0.306147684
it	qwen	None	baseline	0.323218066	0.421731123	0.365960847	0.43018155
it	qwen	stanza	DAG	0.31561939	0.404696133	0.35464999	0.39049967
it	qwen	stanza	simple_prompt	0.289912629	0.336095764	0.31130064	0.378123469
it	qwen	trankit	DAG	0.326248672	0.424033149	0.368768769	0.393596886
it	qwen	trankit	simple_prompt	0.293874172	0.326887661	0.309503051	0.351323485
zh	llama3	None	baseline	0.197283774	0.416289593	0.267701261	0.371274349
zh	llama3	stanza	DAG	0.303045947	0.442684766	0.359791603	0.359268746
zh	llama3	stanza	simple_prompt	0.192307692	0.267857143	0.223880597	0.295500114
zh	llama3	trankit	DAG	0.277016743	0.411764706	0.331210191	0.35227621
zh	llama3	trankit	simple_prompt	0.272727273	0.375	0.315789474	0.324242424
zh	mistral	None	baseline	0.331761006	0.318250377	0.324865281	0.355908633
zh	mistral	stanza	DAG	0.334379906	0.321266968	0.327692308	0.384878853
zh	mistral	stanza	simple_prompt	0.317535545	0.303167421	0.310185185	0.308934212
zh	mistral	trankit	DAG	0.335974643	0.319758673	0.327666151	0.372686029
zh	mistral	trankit	simple_prompt	0.326498423	0.312217195	0.31919815	0.31340085
zh	qwen	None	baseline	0.315334773	0.440422323	0.367526746	0.407766625
zh	qwen	stanza	DAG	0.29359673	0.325037707	0.308518253	0.33901986
zh	qwen	stanza	simple_prompt	0.302782324	0.282442748	0.292259084	0.313547101
zh	qwen	trankit	DAG	0.298403886	0.32428356	0.310805927	0.346129666
zh	qwen	trankit	simple_prompt	0.310810811	0.280916031	0.29510826	0.335855196
ar	llama3	stanza	deptext	0.175852346	0.398837209	0.244084682	0.250853379
ar	llama3	trankit	deptext	0.169117647	0.387790698	0.235522599	0.2341303
ar	mistral	stanza	deptext	0.309823678	0.284722222	0.296743064	0.291715569
ar	mistral	trankit	deptext	0.295511222	0.274305556	0.284513806	0.278665796
ar	qwen	stanza	deptext	0.331230284	0.36627907	0.347874103	0.33839574
ar	qwen	trankit	deptext	0.346322722	0.366860465	0.356295878	0.353897307
de	llama3	stanza	deptext	0.174307174	0.414919852	0.245486048	0.245359831
de	llama3	trankit	deptext	0.177125506	0.431565968	0.251166128	0.253923373
de	mistral	stanza	deptext	0.374651811	0.331689273	0.351863963	0.319570725
de	mistral	trankit	deptext	0.373626374	0.335388409	0.353476283	0.32016054
de	qwen	stanza	deptext	0.341303048	0.352034525	0.346585736	0.348208731
de	qwen	trankit	deptext	0.352179034	0.368680641	0.360240964	0.352233387
en	llama3	stanza	deptext	0.152963371	0.393927126	0.220360095	0.225887407
en	llama3	trankit	deptext	0.154578069	0.401214575	0.223173066	0.227290688
en	mistral	stanza	deptext	0.345517842	0.32145749	0.333053691	0.343973124
en	mistral	trankit	deptext	0.350479512	0.325506073	0.337531486	0.34702443
en	qwen	stanza	deptext	0.332208474	0.358704453	0.344948413	0.359541103
en	qwen	trankit	deptext	0.330125833	0.361133603	0.344934261	0.34217168
es	llama3	stanza	deptext	0.181818182	0.429740791	0.255526262	0.23083389
es	llama3	trankit	deptext	0.178164196	0.42633015	0.251306795	0.225879471
es	mistral	stanza	deptext	0.311428571	0.297407913	0.304256804	0.32636179
es	mistral	trankit	deptext	0.297841727	0.282401091	0.289915966	0.307449953
es	qwen	stanza	deptext	0.32689747	0.334924966	0.330862534	0.333454498
es	qwen	trankit	deptext	0.320132013	0.330832196	0.325394163	0.330928786
fr	llama3	stanza	deptext	0.168879217	0.397948718	0.237127578	0.234774763
fr	llama3	trankit	deptext	0.171360485	0.405641026	0.240938166	0.237817128
fr	mistral	stanza	deptext	0.30777903	0.28	0.293233083	0.304221762
fr	mistral	trankit	deptext	0.319587629	0.286153846	0.301948052	0.310488755
fr	qwen	stanza	deptext	0.315238095	0.339487179	0.32691358	0.333505413
fr	qwen	trankit	deptext	0.322141119	0.339487179	0.330586767	0.339759148
it	llama3	stanza	deptext	0.156435644	0.372641509	0.220362622	0.240011113
it	llama3	trankit	deptext	0.159273423	0.383517495	0.225074304	0.255890412
it	mistral	stanza	deptext	0.278974359	0.250460405	0.263949539	0.333756811
it	mistral	trankit	deptext	0.270491803	0.243093923	0.256062076	0.327152381
it	qwen	stanza	deptext	0.28349735	0.344843462	0.311175737	0.332666882
it	qwen	trankit	deptext	0.286377709	0.340699816	0.31118587	0.334498167
zh	llama3	stanza	deptext	0.246455834	0.340874811	0.286075949	0.305801757
zh	llama3	trankit	deptext	0.242474916	0.328054299	0.278846154	0.305489157
zh	mistral	stanza	deptext	0.305007587	0.303167421	0.30408472	0.332525822
zh	mistral	trankit	deptext	0.31120944	0.318250377	0.314690529	0.340642537
zh	qwen	stanza	deptext	0.314126394	0.254901961	0.28143214	0.299029668
zh	qwen	trankit	deptext	0.30170778	0.240544629	0.267676768	0.302242478
