feature,src_lang,tgt_lang,connection,dep_model,ml_model,val,Dep Parse
dep_len,en,fr,residual,stanza,mbert-base,High,0.0038820716342359285
dep_len,en,fr,residual,stanza,mbert-base,Medium,-0.014389505675660108
dep_len,en,fr,residual,stanza,mbert-base,Low,0.0069896550958988835
sent_len,en,fr,residual,stanza,xlmr-base,Medium,-0.0011779507868303618
sent_len,en,fr,residual,stanza,xlmr-base,Low,0.014772822064272662
sent_len,en,fr,residual,stanza,xlmr-base,High,0.0012532527870904309
lex_len,en,fr,residual,stanza,xlmr-base,High,0.0025088180537252702
lex_len,en,fr,residual,stanza,xlmr-base,Low,0.005049492595253002
lex_len,en,fr,residual,stanza,xlmr-base,Medium,-0.002445228232406671
dep_len,en,fr,residual,stanza,xlmr-base,High,0.0007729923452545195
dep_len,en,fr,residual,stanza,xlmr-base,Medium,-0.0072831502164920625
dep_len,en,fr,residual,stanza,xlmr-base,Low,0.009194123951161037
sent_len,en,fr,residual,trankit,mbert-base,High,0.0010739023236467915
sent_len,en,fr,residual,trankit,mbert-base,Medium,-0.004242043796246597
sent_len,en,fr,residual,trankit,mbert-base,Low,0.016778195491642278
lex_len,en,fr,residual,trankit,mbert-base,High,0.002585210062790222
lex_len,en,fr,residual,trankit,mbert-base,Low,0.009145102397891791
lex_len,en,fr,residual,trankit,mbert-base,Medium,-0.005684801842979148
dep_len,en,fr,residual,trankit,mbert-base,High,0.0017261646318369461
dep_len,en,fr,residual,trankit,mbert-base,Medium,-0.01012221210619857
dep_len,en,fr,residual,trankit,mbert-base,Low,0.007807770192679753
sent_len,en,fr,residual,trankit,xlmr-base,High,0.0018532289407422464
sent_len,en,fr,residual,trankit,xlmr-base,Medium,-0.007660311725835367
sent_len,en,fr,residual,trankit,xlmr-base,Low,0.020806245328805817
lex_len,en,fr,residual,trankit,xlmr-base,High,0.001823567412019389
lex_len,en,fr,residual,trankit,xlmr-base,Low,0.005368056690240985
lex_len,en,fr,residual,trankit,xlmr-base,Medium,-0.006321868934900943
dep_len,en,fr,residual,trankit,xlmr-base,High,-0.00012954769902040475
dep_len,en,fr,residual,trankit,xlmr-base,Medium,-0.008062046441444148
dep_len,en,fr,residual,trankit,xlmr-base,Low,0.010411630736300692
sent_len,en,it,residual,stanza,mbert-base,High,0.002023875945305509
sent_len,en,it,residual,stanza,mbert-base,Medium,-0.008594377074491955
sent_len,en,it,residual,stanza,mbert-base,Low,0.01742573016118487
lex_len,en,it,residual,stanza,mbert-base,High,0.0005648177302979285
lex_len,en,it,residual,stanza,mbert-base,Medium,-0.004585150763802948
lex_len,en,it,residual,stanza,mbert-base,Low,0.021359778322002088
dep_len,en,it,residual,stanza,mbert-base,High,-0.0009465957140062375
dep_len,en,it,residual,stanza,mbert-base,Medium,-0.0012607495619280096
dep_len,en,it,residual,stanza,mbert-base,Low,0.01991391933863418
sent_len,en,it,residual,stanza,xlmr-base,High,0.0019154289887453047
sent_len,en,it,residual,stanza,xlmr-base,Medium,-0.007673377018590499
sent_len,en,it,residual,stanza,xlmr-base,Low,0.015005462780640189
lex_len,en,it,residual,stanza,xlmr-base,High,0.0006189796604039177
lex_len,en,it,residual,stanza,xlmr-base,Medium,-0.006952121789687293
lex_len,en,it,residual,stanza,xlmr-base,Low,0.022875096994109834
dep_len,en,it,residual,stanza,xlmr-base,High,-0.0015077735101869383
dep_len,en,it,residual,stanza,xlmr-base,Medium,-0.0010849548289266764
dep_len,en,it,residual,stanza,xlmr-base,Low,0.020511915538587666
sent_len,en,it,residual,trankit,mbert-base,High,0.0004408638785518004
sent_len,en,it,residual,trankit,mbert-base,Medium,0.008641565571121168
sent_len,en,it,residual,trankit,mbert-base,Low,0.018691667392272127
lex_len,en,it,residual,trankit,mbert-base,High,-0.000229555360208189
lex_len,en,it,residual,trankit,mbert-base,Medium,-0.004573949288845691
lex_len,en,it,residual,trankit,mbert-base,Low,0.0242329196161587
dep_len,en,it,residual,trankit,mbert-base,High,-0.001429608150527173
dep_len,en,it,residual,trankit,mbert-base,Medium,-0.002650856593870876
dep_len,en,it,residual,trankit,mbert-base,Low,0.019728385016978045
sent_len,en,it,residual,trankit,xlmr-base,High,0.0020431408445421573
sent_len,en,it,residual,trankit,xlmr-base,Medium,-0.011455785404206442
sent_len,en,it,residual,trankit,xlmr-base,Low,0.004307819627482945
lex_len,en,it,residual,trankit,xlmr-base,High,-0.0003449919979847671
lex_len,en,it,residual,trankit,xlmr-base,Medium,-0.006284904130035018
lex_len,en,it,residual,trankit,xlmr-base,Low,0.025177736868695844
dep_len,en,it,residual,trankit,xlmr-base,High,-0.0016267816721966533
dep_len,en,it,residual,trankit,xlmr-base,Medium,-0.003990340406532233
dep_len,en,it,residual,trankit,xlmr-base,Low,0.02056301399286442
sent_len,en,de,residual,stanza,mbert-base,Medium,0.0020297563210925906
sent_len,en,de,residual,stanza,mbert-base,Low,-0.005161044368971135
sent_len,en,de,residual,stanza,mbert-base,High,0.0011370320470505124
lex_len,en,de,residual,stanza,mbert-base,High,0.0018078642237091547
lex_len,en,de,residual,stanza,mbert-base,Low,0.0027630568873675543
lex_len,en,de,residual,stanza,mbert-base,Medium,-0.005510815201874797
dep_len,en,de,residual,stanza,mbert-base,High,-0.0008637097352957035
dep_len,en,de,residual,stanza,mbert-base,Medium,-0.010750237378488126
dep_len,en,de,residual,stanza,mbert-base,Low,0.00621994778992585
sent_len,en,de,residual,stanza,xlmr-base,Medium,-0.0014844136678281439
sent_len,en,de,residual,stanza,xlmr-base,Low,-0.0029471707824396676
sent_len,en,de,residual,stanza,xlmr-base,High,0.0003842570973580095
lex_len,en,de,residual,stanza,xlmr-base,High,-4.8075568344185804e-05
lex_len,en,de,residual,stanza,xlmr-base,Low,-0.0003845211971555962
lex_len,en,de,residual,stanza,xlmr-base,Medium,0.00010441065480037981
dep_len,en,de,residual,stanza,xlmr-base,High,-0.002769796724121587
dep_len,en,de,residual,stanza,xlmr-base,Medium,-0.009657595679473663
dep_len,en,de,residual,stanza,xlmr-base,Low,0.0057817249121165926
sent_len,en,de,residual,trankit,mbert-base,Medium,0.0012629016789272862
sent_len,en,de,residual,trankit,mbert-base,Low,-0.005952311635851526
sent_len,en,de,residual,trankit,mbert-base,High,0.0006671245742255749
lex_len,en,de,residual,trankit,mbert-base,High,-0.0003623367604689287
lex_len,en,de,residual,trankit,mbert-base,Low,0.0005358145800762326
lex_len,en,de,residual,trankit,mbert-base,Medium,-0.004279819898624804
dep_len,en,de,residual,trankit,mbert-base,High,-0.003522422426470606
dep_len,en,de,residual,trankit,mbert-base,Medium,-0.010027849810439138
dep_len,en,de,residual,trankit,mbert-base,Low,0.004928798470388629
sent_len,en,de,residual,trankit,xlmr-base,Medium,-0.001976380013357537
sent_len,en,de,residual,trankit,xlmr-base,Low,-0.004126263535297325
sent_len,en,de,residual,trankit,xlmr-base,High,0.0006374904906816248
lex_len,en,de,residual,trankit,xlmr-base,High,-0.00040951246168963173
lex_len,en,de,residual,trankit,xlmr-base,Low,-0.00023257212637617375
lex_len,en,de,residual,trankit,xlmr-base,Medium,-0.003502653375295317
dep_len,en,de,residual,trankit,xlmr-base,High,-0.004459259765116519
dep_len,en,de,residual,trankit,xlmr-base,Medium,-0.009778717511867319
dep_len,en,de,residual,trankit,xlmr-base,Low,0.005553114713864771
sent_len,en,ar,residual,stanza,mbert-base,Medium,-0.0008410151322542081
sent_len,en,ar,residual,stanza,mbert-base,Low,-0.004769318054971938
sent_len,en,ar,residual,stanza,mbert-base,High,0.0008326289224958039
lex_len,en,ar,residual,stanza,mbert-base,High,-0.0024984618946950476
lex_len,en,ar,residual,stanza,mbert-base,Low,-0.0021457298735403363
lex_len,en,ar,residual,stanza,mbert-base,Medium,0.0031432159384072733
dep_len,en,ar,residual,stanza,mbert-base,High,-0.004515502984190012
dep_len,en,ar,residual,stanza,mbert-base,Medium,-0.007510970073585921
dep_len,en,ar,residual,stanza,mbert-base,Low,0.0049586052636843014
sent_len,en,ar,residual,stanza,xlmr-base,Medium,-0.001695813022075443
sent_len,en,ar,residual,stanza,xlmr-base,Low,-0.006684250238178424
sent_len,en,ar,residual,stanza,xlmr-base,High,0.0005524913236469864
lex_len,en,ar,residual,stanza,xlmr-base,High,-0.002989376020995582
lex_len,en,ar,residual,stanza,xlmr-base,Low,-0.0037097712718265896
lex_len,en,ar,residual,stanza,xlmr-base,Medium,0.0010697732358773138
dep_len,en,ar,residual,stanza,xlmr-base,High,-0.004606888172633328
dep_len,en,ar,residual,stanza,xlmr-base,Medium,-0.007343116838510078
dep_len,en,ar,residual,stanza,xlmr-base,Low,0.0031765706081272604
sent_len,en,ar,residual,trankit,mbert-base,Medium,-0.0009759411749999947
sent_len,en,ar,residual,trankit,mbert-base,Low,-0.007548429033624848
sent_len,en,ar,residual,trankit,mbert-base,High,0.0009352021741004801
lex_len,en,ar,residual,trankit,mbert-base,High,-0.0010311867835037791
lex_len,en,ar,residual,trankit,mbert-base,Low,-0.0014200318780150933
lex_len,en,ar,residual,trankit,mbert-base,Medium,-0.004801548479733242
dep_len,en,ar,residual,trankit,mbert-base,High,-0.004321524038184643
dep_len,en,ar,residual,trankit,mbert-base,Medium,-0.006096654841075244
dep_len,en,ar,residual,trankit,mbert-base,Low,0.003105277645786053
sent_len,en,ar,residual,trankit,xlmr-base,Medium,-0.004748587311383723
sent_len,en,ar,residual,trankit,xlmr-base,Low,0.0003803077567178237
sent_len,en,ar,residual,trankit,xlmr-base,High,0.0006353715000734228
lex_len,en,ar,residual,trankit,xlmr-base,High,-0.001505872581808898
lex_len,en,ar,residual,trankit,xlmr-base,Low,-0.0013829490212631246
lex_len,en,ar,residual,trankit,xlmr-base,Medium,-0.003299243207610214
dep_len,en,ar,residual,trankit,xlmr-base,High,-0.0038650025820303746
dep_len,en,ar,residual,trankit,xlmr-base,Medium,-0.004697627843458729
dep_len,en,ar,residual,trankit,xlmr-base,Low,0.003161302762161422
sent_len,en,zh,residual,stanza,mbert-base,Medium,-0.0006277493249050581
sent_len,en,zh,residual,stanza,mbert-base,Low,-0.002305487461408129
sent_len,en,zh,residual,stanza,mbert-base,High,0.0016001433288698186
lex_len,en,zh,residual,stanza,mbert-base,High,9.79989753903121e-05
lex_len,en,zh,residual,stanza,mbert-base,Low,-0.0005639497507757829
lex_len,en,zh,residual,stanza,mbert-base,Medium,0.0016046809142525875
dep_len,en,zh,residual,stanza,mbert-base,High,-0.002832632484701003
dep_len,en,zh,residual,stanza,mbert-base,Medium,-0.005393450760758478
dep_len,en,zh,residual,stanza,mbert-base,Low,0.003198969541492569
sent_len,en,zh,residual,stanza,xlmr-base,Medium,0.0018720792370280348
sent_len,en,zh,residual,stanza,xlmr-base,Low,-0.003786901718334734
sent_len,en,zh,residual,stanza,xlmr-base,High,0.00036594871317197075
lex_len,en,zh,residual,stanza,xlmr-base,High,-0.0003315576658300401
lex_len,en,zh,residual,stanza,xlmr-base,Low,0.00011127876124006342
lex_len,en,zh,residual,stanza,xlmr-base,Medium,-0.0017324263179416821
dep_len,en,zh,residual,stanza,xlmr-base,High,-0.004230210814045288
dep_len,en,zh,residual,stanza,xlmr-base,Medium,-0.004390402296770124
dep_len,en,zh,residual,stanza,xlmr-base,Low,0.002505505229502991
sent_len,en,zh,residual,trankit,mbert-base,Medium,-0.005646201957572372
sent_len,en,zh,residual,trankit,mbert-base,Low,-0.002333413720288391
sent_len,en,zh,residual,trankit,mbert-base,High,0.0017938225469149582
lex_len,en,zh,residual,trankit,mbert-base,High,-0.00024155520618374116
lex_len,en,zh,residual,trankit,mbert-base,Low,0.0013642302996416111
lex_len,en,zh,residual,trankit,mbert-base,Medium,-0.0030867184910967627
dep_len,en,zh,residual,trankit,mbert-base,High,-0.0032967943834132374
dep_len,en,zh,residual,trankit,mbert-base,Medium,-0.00499672959519093
dep_len,en,zh,residual,trankit,mbert-base,Low,0.0025670634943470994
sent_len,en,zh,residual,trankit,xlmr-base,Medium,-0.004841495163575127
sent_len,en,zh,residual,trankit,xlmr-base,Low,0.0029732058149803953
sent_len,en,zh,residual,trankit,xlmr-base,High,-3.9943916807172464e-05
lex_len,en,zh,residual,trankit,xlmr-base,High,-0.0009432581235486737
lex_len,en,zh,residual,trankit,xlmr-base,Medium,-0.003143384014904771
lex_len,en,zh,residual,trankit,xlmr-base,Low,0.0046789497200255825
dep_len,en,zh,residual,trankit,xlmr-base,High,-0.00304586066342738
dep_len,en,zh,residual,trankit,xlmr-base,Medium,-0.005637077121090073
dep_len,en,zh,residual,trankit,xlmr-base,Low,0.001971763185001807
sent_len,es,en,residual,stanza,mbert-base,Low,-0.0022369511107636075
sent_len,es,en,residual,stanza,mbert-base,Medium,-0.003386081048627587
sent_len,es,en,residual,stanza,mbert-base,High,-0.0006216170275880062
lex_len,es,en,residual,stanza,mbert-base,High,-0.0019088317472680805
lex_len,es,en,residual,stanza,mbert-base,Low,-0.0006901532134795385
lex_len,es,en,residual,stanza,mbert-base,Medium,-0.0012793200664972249
dep_len,es,en,residual,stanza,mbert-base,High,-0.003911017175234677
dep_len,es,en,residual,stanza,mbert-base,Medium,-0.007089567123293339
dep_len,es,en,residual,stanza,mbert-base,Low,0.0006664789299215546
sent_len,es,en,residual,stanza,xlmr-base,Low,-0.002020654255441956
sent_len,es,en,residual,stanza,xlmr-base,Medium,0.0005939750909287334
sent_len,es,en,residual,stanza,xlmr-base,High,-0.002367214560183961
lex_len,es,en,residual,stanza,xlmr-base,High,-0.0022681774285358003
lex_len,es,en,residual,stanza,xlmr-base,Low,-0.0014507122731898248
lex_len,es,en,residual,stanza,xlmr-base,Medium,-0.00022447218849652728
dep_len,es,en,residual,stanza,xlmr-base,High,-0.003242511811294535
dep_len,es,en,residual,stanza,xlmr-base,Medium,-0.006012919104840364
dep_len,es,en,residual,stanza,xlmr-base,Low,0.00019032848276656633
sent_len,es,en,residual,trankit,mbert-base,Medium,0.000547857073547986
sent_len,es,en,residual,trankit,mbert-base,Low,-0.003022640977379476
sent_len,es,en,residual,trankit,mbert-base,High,-0.0021716908191192763
lex_len,es,en,residual,trankit,mbert-base,High,-0.002851538883821614
lex_len,es,en,residual,trankit,mbert-base,Low,0.00018619488389759464
lex_len,es,en,residual,trankit,mbert-base,Medium,-0.0024629892382855845
dep_len,es,en,residual,trankit,mbert-base,High,-0.0038174655667380097
dep_len,es,en,residual,trankit,mbert-base,Medium,-0.005344232406313543
dep_len,es,en,residual,trankit,mbert-base,Low,0.0005011464982681568
sent_len,es,en,residual,trankit,xlmr-base,Low,-0.0027220080802142776
sent_len,es,en,residual,trankit,xlmr-base,Medium,-0.0006698416702008991
sent_len,es,en,residual,trankit,xlmr-base,High,-0.002648374403134812
lex_len,es,en,residual,trankit,xlmr-base,High,-0.0031435469279678108
lex_len,es,en,residual,trankit,xlmr-base,Low,2.745427547634627e-06
lex_len,es,en,residual,trankit,xlmr-base,Medium,-0.003191887989542952
dep_len,es,en,residual,trankit,xlmr-base,High,-0.0038172181149291884
dep_len,es,en,residual,trankit,xlmr-base,Medium,-0.005424179986693867
dep_len,es,en,residual,trankit,xlmr-base,Low,-0.00018737358992426678
sent_len,es,es,residual,stanza,mbert-base,Medium,-0.005887022375219431
sent_len,es,es,residual,stanza,mbert-base,Low,-0.004561637626375958
sent_len,es,es,residual,stanza,mbert-base,High,0.0003407374093130633
lex_len,es,es,residual,stanza,mbert-base,High,-0.0025639312787670843
lex_len,es,es,residual,stanza,mbert-base,Low,-2.042749644493025e-05
lex_len,es,es,residual,stanza,mbert-base,Medium,-0.004896922746158272
dep_len,es,es,residual,stanza,mbert-base,High,-0.004231290928130349
dep_len,es,es,residual,stanza,mbert-base,Medium,-0.005708381749605307
dep_len,es,es,residual,stanza,mbert-base,Low,-0.00011235364015793614
sent_len,es,es,residual,stanza,xlmr-base,Medium,-0.001842266626660538
sent_len,es,es,residual,stanza,xlmr-base,Low,-0.00450611191750927
sent_len,es,es,residual,stanza,xlmr-base,High,0.0001906691324212728
lex_len,es,es,residual,stanza,xlmr-base,High,-0.002553355604704266
lex_len,es,es,residual,stanza,xlmr-base,Low,0.00046584880433353515
lex_len,es,es,residual,stanza,xlmr-base,Medium,-0.0032322910400554017
dep_len,es,es,residual,stanza,xlmr-base,High,-0.0038636675582556235
dep_len,es,es,residual,stanza,xlmr-base,Medium,-0.005075114338116138
dep_len,es,es,residual,stanza,xlmr-base,Low,0.0010254359027813686
sent_len,es,es,residual,trankit,mbert-base,Medium,-0.002643006927252056
sent_len,es,es,residual,trankit,mbert-base,Low,-0.0053868167430557445
sent_len,es,es,residual,trankit,mbert-base,High,0.00033972068644061437
lex_len,es,es,residual,trankit,mbert-base,High,-0.002873085199868397
lex_len,es,es,residual,trankit,mbert-base,Low,0.00046835735593853123
