src,tgt,dep_model,gnn_model,ml_model,seed,f1
en,te,None,None,mbert-base,11737,0.3589311788011257
en,te,stanza,rgcn,mbert-base,15123,0.3986636396373077
en,te,stanza,rgat,mbert-base,15123,0.4182352810891841
en,te,trankit,rgcn,mbert-base,15123,0.39083077190873783
en,te,trankit,rgat,mbert-base,15123,0.3576647324825335
en,te,None,None,mbert-base,15123,0.3239293665009166
en,te,stanza,rgcn,mbert-base,98105,0.37951427337124743
en,te,stanza,rgat,mbert-base,98105,0.34539812603603987
en,te,trankit,rgcn,mbert-base,98105,0.36054895229402634
en,te,trankit,rgat,mbert-base,98105,0.34607499639442824
en,te,None,None,mbert-base,98105,0.35866307724616175
en,te,stanza,rgcn,mbert-base,98109,0.3698728357907248
en,te,stanza,rgat,mbert-base,98109,0.4240138314375018
en,te,trankit,rgcn,mbert-base,98109,0.35955663154303835
en,te,trankit,rgat,mbert-base,98109,0.401272732228704
en,te,None,None,mbert-base,98109,0.32394892812221343
en,te,stanza,rgcn,mbert-base,15232,0.3441301733835853
en,te,stanza,rgat,mbert-base,15232,0.3752075992746376
en,te,trankit,rgcn,mbert-base,15232,0.38752943060876893
en,te,trankit,rgat,mbert-base,15232,0.3757197357083589
en,te,None,None,mbert-base,15232,0.3411534657917836
en,te,stanza,rgcn,xlmr-base,11737,0.357551637774812
en,te,stanza,rgat,xlmr-base,11737,0.4030571671244855
en,te,trankit,rgcn,xlmr-base,11737,0.4115547186983475
en,te,trankit,rgat,xlmr-base,11737,0.3601809608602362
en,te,None,None,xlmr-base,11737,0.34584063619592265
en,te,stanza,rgcn,xlmr-base,15123,0.359949939925431
en,te,stanza,rgat,xlmr-base,15123,0.37341788060708087
en,te,trankit,rgcn,xlmr-base,15123,0.3052396943433513
en,te,trankit,rgat,xlmr-base,15123,0.3632686182787541
en,te,None,None,xlmr-base,15123,0.3396740300405565
en,te,stanza,rgcn,xlmr-base,98105,0.35363738940967687
en,te,stanza,rgat,xlmr-base,98105,0.34501083463359117
en,te,trankit,rgcn,xlmr-base,98105,0.2793648328200266
en,te,trankit,rgat,xlmr-base,98105,0.34638300320781157
en,te,None,None,xlmr-base,98105,0.29843267798928147
en,te,stanza,rgcn,xlmr-base,98109,0.3035747128254575
en,te,stanza,rgat,xlmr-base,98109,0.35852698594348387
en,te,trankit,rgcn,xlmr-base,98109,0.3616967633273811
en,te,trankit,rgat,xlmr-base,98109,0.4469212503244501
en,te,None,None,xlmr-base,98109,0.37609377669677746
en,te,stanza,rgcn,xlmr-base,15232,0.3920917979342253
en,te,stanza,rgat,xlmr-base,15232,0.28897047682638805
en,te,trankit,rgcn,xlmr-base,15232,0.3189749094990801
en,te,trankit,rgat,xlmr-base,15232,0.3399593709306034
en,te,None,None,xlmr-base,15232,0.39927438222406847
hi,en,stanza,rgcn,mbert-base,11737,0.6486412175336786
hi,en,stanza,rgat,mbert-base,11737,0.6367596209234468
hi,en,trankit,rgcn,mbert-base,11737,0.6695179756131299
hi,en,trankit,rgat,mbert-base,11737,0.6722088979329109
hi,en,None,None,mbert-base,11737,0.6723634720033153
hi,en,stanza,rgcn,mbert-base,15123,0.6782254553847546
hi,en,stanza,rgat,mbert-base,15123,0.6607182929014904
hi,en,trankit,rgcn,mbert-base,15123,0.6730444497707073
hi,en,trankit,rgat,mbert-base,15123,0.7029653209192351
hi,en,None,None,mbert-base,15123,0.6994054874353737
hi,en,stanza,rgcn,mbert-base,98105,0.6918481784863664
