DEP,GNN,ENC,Src,en,es,fr,it,de,ar,zh,ALL
stanza,rgcn,mbert-base,en,-,0.7960962185385414,0.8088312046697742,0.7618212770246372,0.8016758091353521,0.7442549954876646,0.7200038172881441,0.7721138870240188
stanza,rgat,mbert-base,en,-,0.8034384596257761,0.8025839174494643,0.747910694460091,0.7948827562084985,0.7411083984209615,0.7225011111102407,0.7687375562125053
trankit,rgcn,mbert-base,en,-,0.8012529929549458,0.8075229926763473,0.7375948158933995,0.7931861920933799,0.7378995441306659,0.6947093704873145,0.7620276513726755
trankit,rgat,mbert-base,en,-,0.8078888047157222,0.8070037659925555,0.744242202904883,0.7900295637748086,0.7454643968056353,0.701088642255988,0.7659528960749321
-,-,mbert-base,en,-,0.8040181632330725,0.8073220315583388,0.7734949374881742,0.7875745931863584,0.7268692035788042,0.7037099420563893,0.7671648118501896
stanza,rgcn,mbert-base,es,0.779578973173381,-,0.8261054275536018,0.7758090154766512,0.7693357573512004,0.7323906115912294,0.691742861114783,0.7624937743768078
stanza,rgat,mbert-base,es,0.7910285841902419,-,0.7835038078700403,0.7736158743095247,0.7617195166461777,0.7354099364624923,0.697290435359815,0.7570946924730486
trankit,rgcn,mbert-base,es,0.7931454807829176,-,0.8058510383895112,0.7634855500299954,0.771197012688749,0.7329862200279437,0.7150329821899492,0.7636163806848444
trankit,rgat,mbert-base,es,0.7998230997713408,-,0.7870953680744219,0.7829910516689802,0.7767107455406362,0.7261037501160027,0.711954219665734,0.7641130391395193
-,-,mbert-base,es,0.7759487358408234,-,0.772145827957106,0.7641525457802651,0.759049132545341,0.7086848026206098,0.7080983725836335,0.7480132362212966
stanza,rgcn,mbert-base,fr,0.7655816890834872,0.8205640160560037,-,0.7768463485829638,0.7663134650266832,0.7044019091369784,0.6681156105563755,0.7503038397404153
stanza,rgat,mbert-base,fr,0.8000848438319849,0.8214339731651977,-,0.7699397558664339,0.7751376703734003,0.7145822841016806,0.6754566690356946,0.759439199395732
trankit,rgcn,mbert-base,fr,0.7859936962722301,0.8330802861233241,-,0.7871565364013547,0.7876033569541011,0.7238559815179658,0.6970771381165682,0.7691278325642573
trankit,rgat,mbert-base,fr,0.8013675696090274,0.7973447574978971,-,0.765735808766714,0.77368949677076,0.7092555003808233,0.6840673399880005,0.7552434121688704
-,-,mbert-base,fr,0.7659022744477975,0.8041768827184086,-,0.7690626721179491,0.7478732516400267,0.7021543721378415,0.6638497823278514,0.7421698725649791
stanza,rgcn,mbert-base,it,0.7898998426576155,0.8296564434819619,0.7724757902919862,-,0.7469849516114199,0.7076699955975071,0.7004034085499345,0.7578484053650709
stanza,rgat,mbert-base,it,0.7671345016820941,0.838132883194734,0.7746670106036917,-,0.7569197522524455,0.7216948041482144,0.7048223786275143,0.7605618884181157
trankit,rgcn,mbert-base,it,0.770805648128368,0.8231751570875251,0.7718077692713902,-,0.7595929501273941,0.7096421145482119,0.6923253096836971,0.7545581581410977
trankit,rgat,mbert-base,it,0.7714647272720349,0.8252764422049045,0.7781373627146944,-,0.7629304601879975,0.7165538056997379,0.7146542941428805,0.7615028487037082
-,-,mbert-base,it,0.754453757919959,0.8307323896164824,0.7767480121631091,-,0.7286475912480741,0.7295715072501899,0.7079712470288264,0.7546874175377735
stanza,rgcn,mbert-base,de,0.7998346465559472,0.8044624393395097,0.7671505256759054,0.7581190291844986,-,0.742179659648321,0.7002070620909353,0.7619922270825196
stanza,rgat,mbert-base,de,0.7921476607717706,0.8126370816541346,0.7811674295804334,0.7656713189112683,-,0.745818505710476,0.7167334525939095,0.7690292415369987
