DEP,GNN,ENC,Src,en,es,fr,it,de,ar,zh
stanza,rgcn,xlmr-base,fr,74.3\pm1.7,74.1\pm1.1,-,69.7\pm0.6,72.2\pm1.3,58.7\pm0.6,62.9\pm2.7
stanza,rgat,xlmr-base,fr,70.1\pm1.5,73.9\pm1.3,-,67.0\pm1.5,66.2\pm1.0,59.0\pm0.9,60.3\pm1.6
trankit,rgcn,xlmr-base,fr,70.0\pm0.2,74.4\pm0.5,-,68.4\pm0.7,66.4\pm0.7,58.9\pm2.2,59.5\pm1.8
trankit,rgat,xlmr-base,fr,71.8\pm1.3,76.0\pm0.7,-,68.2\pm0.8,70.6\pm1.0,61.5\pm1.2,59.9\pm1.3
-,-,xlmr-base,fr,71.1\pm0.9,75.0\pm0.6,-,68.9\pm0.6,68.5\pm1.3,61.5\pm1.2,59.4\pm2.6
stanza,rgcn,xlmr-base,it,73.3\pm2.0,76.1\pm0.8,74.3\pm1.3,-,67.2\pm2.1,61.8\pm0.3,63.1\pm0.3
stanza,rgat,xlmr-base,it,74.9\pm1.0,76.0\pm0.2,74.2\pm1.3,-,68.9\pm0.2,62.2\pm0.1,64.7\pm1.5
trankit,rgcn,xlmr-base,it,73.3\pm1.2,77.0\pm0.7,74.8\pm1.6,-,70.0\pm1.7,64.5\pm1.0,64.7\pm1.0
trankit,rgat,xlmr-base,it,72.6\pm1.9,78.7\pm0.5,76.6\pm0.2,-,70.2\pm1.0,63.6\pm3.4,64.6\pm1.5
-,-,xlmr-base,it,71.2\pm1.1,76.1\pm1.6,72.2\pm0.9,-,68.2\pm1.7,60.8\pm0.5,62.0\pm1.7
stanza,rgcn,xlmr-base,de,72.6\pm1.5,73.4\pm2.1,70.8\pm1.9,65.2\pm0.5,-,60.6\pm0.8,66.0\pm1.9
stanza,rgat,xlmr-base,de,76.1\pm1.5,73.5\pm0.2,71.5\pm1.3,69.0\pm2.8,-,64.0\pm1.6,65.8\pm1.7
trankit,rgcn,xlmr-base,de,74.1\pm1.0,72.8\pm0.8,69.6\pm1.8,63.6\pm2.3,-,63.4\pm1.0,64.5\pm1.9
trankit,rgat,xlmr-base,de,75.0\pm0.5,73.2\pm1.6,70.3\pm1.3,64.9\pm1.0,-,63.7\pm0.5,64.4\pm3.5
-,-,xlmr-base,de,75.0\pm1.5,72.4\pm0.9,69.3\pm1.3,64.1\pm0.3,-,60.8\pm0.7,64.0\pm1.2
