src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
it,zh,None,None,xlmr-base,"[15232, 15123, 11737]",62.0,1.67,60.74,2.02
de,en,stanza,rgcn,mbert-base,"[11737, 98105, 98109]",79.98,0.15,79.72,0.37
de,en,stanza,rgat,mbert-base,"[11737, 98109, 15123]",79.21,0.42,78.38,1.36
de,en,trankit,rgcn,mbert-base,"[15232, 11737, 98109]",79.66,0.28,79.06,0.83
de,en,trankit,rgat,mbert-base,"[15232, 11737, 98109]",80.69,0.73,80.13,0.95
de,en,None,None,mbert-base,"[15123, 11737, 98109]",80.4,1.05,79.51,1.45
de,en,stanza,rgcn,xlmr-base,"[15123, 98105, 98109]",72.63,1.49,71.21,2.14
de,en,stanza,rgat,xlmr-base,"[98105, 15232, 15123]",76.13,1.47,74.18,2.67
de,en,trankit,rgcn,xlmr-base,"[15123, 11737, 98105]",74.06,1.05,71.81,3.46
de,en,trankit,rgat,xlmr-base,"[11737, 15232, 15123]",74.99,0.5,73.68,1.71
de,en,None,None,xlmr-base,"[15123, 98105, 98109]",74.96,1.48,73.27,2.59
de,es,stanza,rgcn,mbert-base,"[98105, 11737, 15123]",80.45,0.73,79.1,1.79
de,es,stanza,rgat,mbert-base,"[11737, 15232, 15123]",81.26,1.08,80.3,1.51
de,es,trankit,rgcn,mbert-base,"[15232, 98109, 11737]",80.59,1.4,79.85,1.48
de,es,trankit,rgat,mbert-base,"[98105, 11737, 15123]",79.18,0.08,78.76,0.57
de,es,None,None,mbert-base,"[98105, 98109, 15123]",80.02,0.43,79.39,0.89
de,es,stanza,rgcn,xlmr-base,"[15123, 98109, 15232]",73.41,2.1,71.65,2.97
de,es,stanza,rgat,xlmr-base,"[98105, 15123, 15232]",73.55,0.25,72.05,1.94
de,es,trankit,rgcn,xlmr-base,"[11737, 15232, 15123]",72.81,0.85,70.45,3.85
de,es,trankit,rgat,xlmr-base,"[15232, 11737, 15123]",73.21,1.64,72.0,1.96
de,es,None,None,xlmr-base,"[98109, 98105, 11737]",72.45,0.94,70.88,2.35
de,fr,stanza,rgcn,mbert-base,"[98105, 15123, 98109]",76.72,0.32,75.97,1.0
de,fr,stanza,rgat,mbert-base,"[11737, 98105, 15232]",78.12,1.36,77.15,1.59
de,fr,trankit,rgcn,mbert-base,"[15123, 98109, 98105]",77.85,0.33,77.1,0.97
de,fr,trankit,rgat,mbert-base,"[98109, 98105, 15123]",77.75,0.58,77.43,0.6
de,fr,None,None,mbert-base,"[15232, 11737, 98105]",78.26,0.12,77.54,0.9
de,fr,stanza,rgcn,xlmr-base,"[15232, 98109, 98105]",70.85,1.87,69.65,2.07
de,fr,stanza,rgat,xlmr-base,"[15232, 98105, 15123]",71.5,1.35,69.99,2.36
de,fr,trankit,rgcn,xlmr-base,"[15123, 11737, 15232]",69.6,1.75,67.67,2.87
de,fr,trankit,rgat,xlmr-base,"[11737, 15232, 98109]",70.28,1.29,69.4,1.48
de,fr,None,None,xlmr-base,"[98105, 15232, 11737]",69.32,1.3,68.31,1.63
de,it,stanza,rgcn,mbert-base,"[98105, 15123, 11737]",75.81,0.8,73.66,2.78
de,it,stanza,rgat,mbert-base,"[11737, 98109, 15232]",76.57,2.65,75.37,2.54
de,it,trankit,rgcn,mbert-base,"[98109, 98105, 11737]",75.07,0.4,73.92,1.46
de,it,trankit,rgat,mbert-base,"[11737, 98109, 15123]",77.39,0.55,76.34,1.36
de,it,None,None,mbert-base,"[15123, 11737, 98109]",76.13,1.54,74.83,2.17
de,it,stanza,rgcn,xlmr-base,"[98105, 11737, 15232]",65.18,0.49,64.13,1.37
de,it,stanza,rgat,xlmr-base,"[15232, 15123, 98105]",68.98,2.76,65.34,5.1
de,it,trankit,rgcn,xlmr-base,"[15123, 11737, 98105]",63.64,2.32,61.72,3.0
de,it,trankit,rgat,xlmr-base,"[11737, 15232, 15123]",64.87,1.02,62.8,2.91
de,it,None,None,xlmr-base,"[98105, 15232, 11737]",64.1,0.29,62.87,1.69
de,de,stanza,rgcn,mbert-base,"[11737, 98109, 15123]",80.0,0.88,79.11,1.3
de,de,stanza,rgat,mbert-base,"[11737, 98109, 15123]",80.52,0.61,79.23,1.87
de,de,trankit,rgcn,mbert-base,"[15232, 11737, 98109]",79.75,0.9,78.56,1.88
de,de,trankit,rgat,mbert-base,"[98109, 15232, 98105]",78.88,0.75,78.36,0.87
de,de,None,None,mbert-base,"[98109, 15232, 98105]",78.74,0.34,78.35,0.58
de,de,stanza,rgcn,xlmr-base,"[15232, 15123, 98109]",75.67,1.51,73.19,3.26
de,de,stanza,rgat,xlmr-base,"[15123, 98105, 98109]",76.24,1.1,75.03,1.71
de,de,trankit,rgcn,xlmr-base,"[11737, 15232, 15123]",73.91,2.57,72.58,2.66
de,de,trankit,rgat,xlmr-base,"[11737, 15123, 15232]",75.9,0.15,74.59,1.66
de,de,None,None,xlmr-base,"[98105, 98109, 15123]",75.25,0.58,74.43,1.21
de,ar,stanza,rgcn,mbert-base,"[98109, 15123, 15232]",74.22,0.77,73.44,1.28
de,ar,stanza,rgat,mbert-base,"[11737, 98105, 15123]",74.58,0.53,72.86,2.16
de,ar,trankit,rgcn,mbert-base,"[11737, 15123, 15232]",73.31,1.01,72.2,1.63
de,ar,trankit,rgat,mbert-base,"[15123, 11737, 98109]",73.67,0.03,72.89,0.97
de,ar,None,None,mbert-base,"[11737, 98109, 15123]",75.84,1.89,74.41,2.3
de,ar,stanza,rgcn,xlmr-base,"[15232, 98105, 11737]",60.55,0.82,59.3,1.74
de,ar,stanza,rgat,xlmr-base,"[15232, 15123, 98109]",64.05,1.56,62.24,2.76
de,ar,trankit,rgcn,xlmr-base,"[15123, 15232, 11737]",63.45,1.01,61.13,2.97
de,ar,trankit,rgat,xlmr-base,"[15232, 98109, 11737]",63.68,0.46,62.58,1.4
de,ar,None,None,xlmr-base,"[98105, 15232, 15123]",60.82,0.67,59.54,1.78
de,zh,stanza,rgcn,mbert-base,"[15123, 98109, 15232]",70.02,1.88,68.08,2.79
de,zh,stanza,rgat,mbert-base,"[15123, 11737, 98105]",71.67,0.62,68.85,3.53
de,zh,trankit,rgcn,mbert-base,"[11737, 15232, 98109]",70.07,0.12,69.33,0.92
de,zh,trankit,rgat,mbert-base,"[11737, 98109, 98105]",70.63,0.85,69.42,1.73
de,zh,None,None,mbert-base,"[98109, 11737, 15123]",71.61,1.2,69.83,2.92
de,zh,stanza,rgcn,xlmr-base,"[15123, 15232, 98105]",66.02,1.93,62.92,4.09
de,zh,stanza,rgat,xlmr-base,"[98109, 15232, 98105]",65.8,1.69,64.1,2.57
de,zh,trankit,rgcn,xlmr-base,"[15123, 15232, 98105]",64.48,1.87,61.16,4.89
de,zh,trankit,rgat,xlmr-base,"[15232, 11737, 15123]",64.43,3.5,62.76,3.49
de,zh,None,None,xlmr-base,"[11737, 98105, 15123]",64.0,1.22,62.52,2.25
