src,tgt,dep_model,gnn_model,ml_model,top_seed,top_f1_mean,top_f1_std,all_f1_mean,all_f1_std
en,ar,stanza,rgat,xlmr-base,"[98109, 98105, 15232]",59.61,2.71,56.83,4.29
en,ar,trankit,rgcn,xlmr-base,"[98105, 15232, 11737]",62.63,1.76,60.91,3.09
en,ar,trankit,rgat,xlmr-base,"[15123, 98109, 11737]",61.46,1.72,60.07,2.22
en,ar,None,None,xlmr-base,"[11737, 98105, 98109]",61.74,1.82,60.56,2.08
en,zh,stanza,rgcn,mbert-base,"[98109, 11737, 15123]",72.0,0.82,70.1,2.88
en,zh,stanza,rgat,mbert-base,"[98105, 11737, 15123]",72.25,0.36,71.61,0.87
en,zh,trankit,rgcn,mbert-base,"[11737, 98109, 15232]",69.47,0.61,68.08,2.38
en,zh,trankit,rgat,mbert-base,"[98105, 15123, 11737]",70.11,0.55,68.46,2.08
en,zh,None,None,mbert-base,"[15232, 11737, 15123]",70.37,0.61,69.68,1.0
en,zh,stanza,rgcn,xlmr-base,"[98105, 98109, 11737]",65.1,0.88,61.49,4.47
en,zh,stanza,rgat,xlmr-base,"[11737, 98105, 98109]",62.18,0.42,60.32,2.81
en,zh,trankit,rgcn,xlmr-base,"[11737, 98105, 15232]",64.61,1.28,63.15,2.19
en,zh,trankit,rgat,xlmr-base,"[98105, 98109, 15232]",66.45,1.69,62.43,6.02
en,zh,None,None,xlmr-base,"[15232, 98105, 98109]",64.42,1.03,63.23,1.71
es,en,stanza,rgcn,mbert-base,"[98109, 15232, 11737]",77.96,0.4,76.92,1.35
es,en,stanza,rgat,mbert-base,"[98105, 11737, 98109]",79.1,0.17,78.63,0.86
es,en,trankit,rgcn,mbert-base,"[98109, 98105, 11737]",79.31,0.93,78.47,1.26
es,en,trankit,rgat,mbert-base,"[98109, 11737, 15232]",79.98,1.08,78.72,1.78
es,en,None,None,mbert-base,"[98109, 15123, 15232]",77.59,0.07,76.88,0.87
es,en,stanza,rgcn,xlmr-base,"[98105, 15232, 98109]",73.4,2.16,72.39,2.13
es,en,stanza,rgat,xlmr-base,"[11737, 15232, 98105]",72.66,1.9,70.74,2.91
es,en,trankit,rgcn,xlmr-base,"[11737, 15232, 98105]",73.8,1.05,72.6,1.81
es,en,trankit,rgat,xlmr-base,"[11737, 98105, 15123]",71.37,1.17,70.08,1.97
es,en,None,None,xlmr-base,"[15123, 11737, 98109]",73.27,0.38,73.12,0.35
es,es,stanza,rgcn,mbert-base,"[98109, 11737, 15232]",80.53,0.99,79.51,1.52
es,es,stanza,rgat,mbert-base,"[15123, 98105, 98109]",82.19,0.6,80.78,1.91
es,es,trankit,rgcn,mbert-base,"[98105, 11737, 15123]",81.77,0.83,80.7,1.47
es,es,trankit,rgat,mbert-base,"[98109, 98105, 15123]",80.86,0.3,79.74,1.98
es,es,None,None,mbert-base,"[15232, 11737, 98105]",79.98,0.57,79.11,1.23
es,es,stanza,rgcn,xlmr-base,"[15123, 98105, 11737]",76.78,0.8,76.41,0.78
es,es,stanza,rgat,xlmr-base,"[11737, 15232, 15123]",77.54,1.41,76.34,1.85
es,es,trankit,rgcn,xlmr-base,"[11737, 98109, 98105]",76.37,1.12,75.61,1.37
es,es,trankit,rgat,xlmr-base,"[15123, 15232, 11737]",77.34,0.22,76.48,1.57
es,es,None,None,xlmr-base,"[15232, 15123, 11737]",77.18,1.99,76.06,2.06
es,fr,stanza,rgcn,mbert-base,"[15232, 11737, 98109]",82.61,0.79,81.06,2.18
es,fr,stanza,rgat,mbert-base,"[11737, 98105, 98109]",78.35,0.51,77.52,1.11
es,fr,trankit,rgcn,mbert-base,"[11737, 98109, 15232]",80.59,1.6,79.15,2.27
es,fr,trankit,rgat,mbert-base,"[98105, 98109, 11737]",78.71,0.49,78.18,0.8
es,fr,None,None,mbert-base,"[11737, 15123, 98105]",77.21,0.78,76.57,1.03
es,fr,stanza,rgcn,xlmr-base,"[98105, 15123, 15232]",75.12,0.31,74.13,1.26
es,fr,stanza,rgat,xlmr-base,"[11737, 15232, 15123]",75.24,1.03,74.37,1.46
es,fr,trankit,rgcn,xlmr-base,"[11737, 15123, 98109]",75.92,1.53,74.61,2.16
es,fr,trankit,rgat,xlmr-base,"[11737, 15232, 98109]",76.18,1.15,74.86,1.92
es,fr,None,None,xlmr-base,"[98109, 15123, 11737]",74.33,0.4,72.64,2.24
es,it,stanza,rgcn,mbert-base,"[98105, 98109, 15232]",77.58,1.37,75.94,2.58
es,it,stanza,rgat,mbert-base,"[15123, 11737, 15232]",77.36,1.29,76.29,1.71
es,it,trankit,rgcn,mbert-base,"[15123, 98109, 15232]",76.35,0.57,75.69,1.04
es,it,trankit,rgat,mbert-base,"[98109, 15123, 98105]",78.3,1.01,77.22,1.73
es,it,None,None,mbert-base,"[11737, 15123, 15232]",76.42,0.56,75.46,1.34
es,it,stanza,rgcn,xlmr-base,"[15232, 98109, 11737]",68.32,2.54,67.24,2.37
es,it,stanza,rgat,xlmr-base,"[15232, 98105, 11737]",69.29,1.62,66.89,3.33
es,it,trankit,rgcn,xlmr-base,"[11737, 98105, 15123]",69.81,1.83,68.17,2.57
es,it,trankit,rgat,xlmr-base,"[98109, 11737, 15123]",68.04,1.52,66.36,2.38
es,it,None,None,xlmr-base,"[15232, 11737, 15123]",70.08,1.36,68.0,2.77
es,de,stanza,rgcn,mbert-base,"[11737, 98109, 15232]",76.93,1.33,75.45,2.1
es,de,stanza,rgat,mbert-base,"[15232, 11737, 98109]",76.17,0.65,75.59,0.88
es,de,trankit,rgcn,mbert-base,"[11737, 15123, 98109]",77.12,1.02,76.15,1.54
es,de,trankit,rgat,mbert-base,"[98109, 98105, 11737]",77.67,0.83,76.35,1.97
es,de,None,None,mbert-base,"[98105, 98109, 15232]",75.9,0.68,74.71,1.59
es,de,stanza,rgcn,xlmr-base,"[15232, 11737, 98105]",67.33,0.56,66.41,1.36
es,de,stanza,rgat,xlmr-base,"[15232, 11737, 98105]",67.26,0.3,66.74,0.74
es,de,trankit,rgcn,xlmr-base,"[11737, 15232, 15123]",69.97,2.54,68.32,2.82
es,de,trankit,rgat,xlmr-base,"[98105, 15123, 15232]",68.66,2.03,66.98,2.62
es,de,None,None,xlmr-base,"[15123, 98109, 11737]",70.61,0.72,68.62,2.69
es,ar,stanza,rgcn,mbert-base,"[11737, 15232, 98109]",73.24,0.49,70.95,2.83
es,ar,stanza,rgat,mbert-base,"[11737, 98109, 98105]",73.54,0.92,72.24,1.76
es,ar,trankit,rgcn,mbert-base,"[11737, 98105, 15123]",73.3,0.35,72.3,1.25
es,ar,trankit,rgat,mbert-base,"[98109, 98105, 11737]",72.61,1.23,72.02,1.22
es,ar,None,None,mbert-base,"[98109, 98105, 11737]",70.87,1.65,69.79,1.84
